Ticker,Latest_price,sector,industry,marketCap,trailing_PE_ratio,pegRatio,enterpriseValue,ebitda,ebitdaMargins,profitMargins,revenueGrowth,freeCashflow,operatingCashflow,returnOnAssets,returnOnEquity,enterpriseToRevenue,enterpriseToEbitda,priceToBook,beta,forwardEps,currentRatio,quickRatio,debtToEquity,sharesOutstanding,earningsGrowth,fiveYearAvgDividendYield
WFC,55.63,Financial Services,Banks—Diversified,221809606656,13.270515,0.1,-25388482560,,0,0.24059,0.09,,-39106998272,0.0103400005,0.1075,-0.325,,1.3107607,1.314285,3.74,,,,3987229952,0.671,3.44
COST,512.67,Consumer Defensive,Discount Stores,227334275072,44.081684,4.42,224390807552,9413000192,0.046350002,0.02543,0.166,687625024,9569000448,0.07643,0.30563,1.105,23.838,12.313142,0.684236,13.96,1.015,0.462,53.237,443432000,0.137,0.9
LLY,240.31,Healthcare,Drug Manufacturers—General,229878628352,36.68855,5.2,248588304384,9656999936,0.34789002,0.21515,0.18,3820699904,6919399936,0.11108,0.92237,8.955,25.742,28.09986,0.362392,7.49,1.302,0.793,215.45,956592000,-0.083,2.05
NVO,100.81,Healthcare,Biotechnology,229804441600,33.204872,122.39,213369421824,60418998272,0.44886002,0.3431,0.152,32646500352,58189000704,0.22504999,0.7349,1.585,3.531,3.494765,0.257332,3.31,1.033,0.802,20.795,2279579904,0.192,2.29
ADBE,442.56,Technology,Software—Infrastructure,210570051584,44.167664,2.62,251102642176,6579333120,0.41681,0.30548,0.2,,,0.14076,0.34368,15.908,38.165,14.236633,1.003041,16.25,1.248,1.107,31.581,475800000,-0.445,
VZ,53.83,Communication Services,Telecom Services,225965424640,10.118421,2.62,391651557376,50295001088,0.37467,0.16419001,0.043,-24466874368,40457998336,0.06523,0.31167,2.918,7.787,2.8926866,0.411948,5.4,0.974,0.799,228.038,4197760000,0.473,4.45
TMO,537.14,Healthcare,Diagnostics & Research,211658948608,24.932232,2.23,236576882688,13283999744,0.3401,0.21927999,0.095,6362625024,10193999872,0.09782,0.24285999,6.057,17.809,5.4677973,0.74303,21.73,3.189,2.372,56.086,394048000,-0.01,0.26
ABT,116.79,Healthcare,Medical Devices,206518599680,28.980148,2.03,249001328640,12366000128,0.29229,0.17122,0.234,8126875136,11264000000,0.0774,0.21862,5.885,20.136,5.999692,0.685714,4.76,1.826,1.251,53.112,1768290048,0.696,1.63
NKE,142.95,Consumer Cyclical,Footwear & Accessories,226264104960,37.519684,2.89,219285979136,7982000128,0.17238002,0.13322,0.01,4678624768,7169999872,0.12352,0.48263,4.736,27.473,15.157459,0.961213,4.82,3.068,2.128,85.252,1277810048,0.064,0.98
CMCSA,46.64,Communication Services,Entertainment,213094432768,15.001608,0.87,326278709248,33387999232,0.2935,0.12731,0.187,10249124864,26499000320,0.04559,0.15312,2.868,9.772,2.2247663,0.944247,3.69,1.026,0.889,104.661,4559479808,0.955,1.82
ORCL,74.57,Technology,Software—Infrastructure,199135444992,21.047134,1.91,293278515200,18407999488,0.44465,0.24788,0.057,9675875328,10254999552,0.092,,7.084,15.932,,0.807792,5.26,1.646,1.446,,2670449920,,1.53
ACN,321.18,Technology,Information Technology Services,203149230080,33.411007,3.82,225603960832,9030121472,0.16804,0.11533,0.272,6319962112,7903174144,0.124560006,0.31948,4.198,24.983,9.974534,1.213823,10.45,1.223,1.101,16.607,632001024,0.197,1.5
CRM,196.84,Technology,Software—Application,193887404032,108.27283,5.29,209728503808,3404999936,0.13629,0.06961,0.266,8601624576,6192000000,0.00828,0.035720002,8.395,61.594,3.3948467,1.070611,4.71,1.061,0.892,25.131,985000000,-0.591,
DHR,266.93,Healthcare,Diagnostics & Research,190742036480,33.86577,1.46,243533758464,9655000064,0.34402,0.20973,0.229,5538800128,8246000128,0.06086,0.14245,8.677,25.224,4.7463503,0.701976,10.14,1.485,0.942,56.662,714577024,0.328,0.47
INTC,45.04,Technology,Semiconductors,183177691136,8.732067,3.18,204177358848,33873999872,0.42865002,0.25142,0.028,1480125056,29991000064,0.08586001,0.22522,2.584,6.028,2.0333169,0.535554,3.7,2.102,1.38,40.508,4067000064,-0.209,2.48
MRK,76.37,Healthcare,Drug Manufacturers—General,192906035200,26.947777,0.87,210990940160,21056999424,0.40027002,0.13681,0.204,9870499840,13084000256,0.12133,0.26036,4.011,10.02,5.388035,0.494545,7.2,1.309,0.869,73.728,2525939968,0.548,2.97
NVS,86.39,Healthcare,Drug Manufacturers—General,193582710784,19.95611,2.03,222063394816,20148000768,0.38461,0.18721001,0.066,11788999680,15192000512,0.07293,0.176,4.239,11.022,3.4042635,0.53016,6.66,0.879,0.56,60.293,2237090048,0.452,3.45
MCD,250.6,Consumer Cyclical,Restaurants,187259600896,25.835052,1.32,245151268864,11223400448,0.49820998,0.32332,0.145,6854837248,8467800064,0.11328,,10.882,21.843,,0.580259,10.14,1.334,1.204,,747244992,0.217,2.37
UPS,209.36,Industrials,Integrated Freight & Logistics,181963571200,28.46499,1.07,203918901248,10874000384,0.11517999,0.06832,0.092,3207875072,12936999936,0.07768,0.73033994,2.16,18.753,15.1097,1.118441,12.1,1.476,1.381,212.383,729158016,0.183,2.95
QCOM,167.64,Technology,Semiconductors,187756806144,21.301144,0.68,213582594048,11370999808,0.33877,0.26941,0.119,8519750144,10535999488,0.15925,1.12847,6.363,18.783,18.955225,1.272207,11.64,1.68,1.338,163.809,1120000000,-0.049,3.13
MS,95.42,Financial Services,Capital Markets,171222597632,12.183351,0,-27251609600,,0,0.25267,0.259,,8232000000,0.01381,0.15045999,-0.468,,1.7488041,1.526233,153.38,1.907,1.662,328.485,1794409984,0.193,2.28
AZN,59.86,Healthcare,Drug Manufacturers—General,185494175744,110.54479,0.87,203964923904,6325000192,0.19274001,0.04482,0.5,-1386749952,6343000064,0.02345,0.054770004,6.215,32.247,4.5063424,0.193358,3.89,1.129,0.677,86.159,3098800128,,3.31
BHP,69.34,Basic Materials,Other Industrial Metals & Mining,175509929984,15.547084,,176309633024,35974000640,0.58751,0.18461001,0.706,18975250432,27234000896,0.17391,0.2496,2.879,4.901,3.4201438,0.772897,2.04,1.627,1.317,38.79,2531150080,1.402,4.89
NFLX,391.29,Communication Services,Entertainment,173322698752,35.27996,1.29,272331112448,6693351936,0.23376,0.17639999,0.163,14542671872,658211968,0.10012,0.39387,9.511,40.687,11.317464,0.84987,13.09,1.17,1.032,117.578,442952000,0.833,
T,23.87,Communication Services,Telecom Services,170455678976,185.03877,2.17,392898609152,53029998592,0.30548,0.0066500003,-0.057,41733750784,40784998400,0.03724,0.01368,2.263,7.409,1.0406767,0.679168,3.21,0.701,0.511,115.572,7141000192,1.114,6.3
SCHW,85.61,Financial Services,Capital Markets,161854259200,32.588505,1.22,133101289472,,0,0.31614,0.127,,,,0.10317001,7.187,,3.4054656,0.989557,3.69,,,55.331,1811309952,0.343,1.14
PM,111.61,Consumer Defensive,Tobacco,173757792256,19.444252,1.44,176517775360,14060999680,0.45734,0.29247,0.091,8760999936,11096999936,0.2024,,5.741,12.554,,0.891948,6.43,0.998,0.485,,1556829952,0.049,5.17
RY,110.52,Financial Services,Banks—Diversified,157454516224,12.742994,1.32,-138688806912,,0,0.31792,0.182,,-27832000512,0.00964,0.17302,-2.749,,1.7116042,0.781748,9.3,,,,1424669952,0.2,3.79
TMUS,123.98,Communication Services,Telecom Services,154857226240,46.609024,1.15,261420498944,26377000960,0.32923,0.03774,0.022,-246000000,13916999680,0.03071,0.04498,3.263,9.911,2.2630696,0.551466,3.24,0.889,0.672,157.473,1249049984,-0.428,
TD,83.22,Financial Services,Banks—Diversified,151629332480,13.746284,3.05,-67150381056,,0,0.33315,0.013,,56623001600,0.0083,0.14641,-1.565,,1.6108552,0.864569,6.74,,,,1822029952,-0.272,3.78
HSBC,36.81,Financial Services,Banks—Diversified,149462958080,13.385455,,-362057924608,,0,0.25739,0.137,,,0.00459,0.06683,-7.311,,0.84630424,0.675152,3.4,,,,4060389888,1.429,
TTE,57.58,Energy,Oil & Gas Integrated,150134095872,14.6290655,0.23,190404968448,29305999360,0.18125,0.068569995,0.803,9041500160,24462999552,0.03605,0.104449995,1.178,6.497,1.3818427,1.159004,6.79,1.165,0.544,59.866,2605509888,21.323,6
LOW,222.69,Consumer Cyclical,Home Improvement Retail,150036725760,19.420074,1.3,199288258560,14842000384,0.15587,0.08625,0.027,5926374912,8743000064,0.16221,6.57829,2.093,13.427,,1.294025,12.9,1.193,0.342,,673747008,2,1.66
UNP,251.19,Industrials,Railroads,161484029952,26.90841,1.52,187114045440,11546000384,0.52953,0.29916,0.115,4990125056,9031999488,0.092700005,0.41923,8.582,16.206,11.630782,1.190065,11.38,0.618,0.175,220.027,642876032,0.297,2.01
TXN,166.74,Technology,Semiconductors,153988726784,21.409863,2.41,174165770240,9009000448,0.51222,0.41614,0.216,5086875136,8524000256,0.24934,0.71489,9.903,19.332,12.671176,0.932467,8.23,5.63,4.739,63.69,923526016,0.428,2.41
INTU,481.2,Technology,Software—Application,136259969024,63.47448,3.04,174345699328,2889999872,0.28012,0.20277001,0.517,2693625088,3350000128,0.12802,0.27934,16.899,60.327,13.508126,1.054025,13.64,2.099,1.764,25.758,283167008,0.093,0.73
LIN,302.86,Basic Materials,Specialty Chemicals,155232403456,44.56445,,163466002432,10149000192,0.32959,0.12425,0.141,6089124864,9724999680,0.04058,0.08326,5.309,16.107,3.5022838,0.864246,10.32,0.745,0.547,31.265,512555008,0.364,1.83
NEE,74.15,Utilities,Utilities—Regulated Electric,145492688896,120.76547,3.6,231018496000,7016000000,0.42733002,0.14399,-0.087,-10548374528,7587999744,0.0133299995,0.03873,14.071,32.927,3.9699113,0.296502,2.74,0.468,0.222,123.733,1962140032,-0.633,2.25
AXP,194.88,Financial Services,Credit Services,150945480704,20.357256,0.42,137882927104,,0,0.18895,0.375,,13137000448,0.04188,0.33606,3.349,,6.2071605,1.243284,9.67,1.587,1.582,150.569,774556032,0.745,1.4
BMY,67.55,Healthcare,Drug Manufacturers—General,149936685056,,1.39,175783591936,20579000320,0.44366002,0.15078,0.083,13574250496,16206999552,0.0539,0.18985,3.79,8.542,4.0292277,0.586275,7.84,1.521,1.36,126.634,2219640064,,2.94
RTX,93.37,Industrials,Aerospace & Defense,139754356736,42.44091,0.94,161814953984,11009000448,0.17265,0.051960003,0.099,4755749888,5288999936,0.02508,0.05017,2.538,14.698,1.9613487,1.012467,4.99,1.23,0.818,44.935,1496780032,4.298,2.54
SAP,115.71,Technology,Software—Application,136785420288,21.192307,4.02,148579205120,7136000000,0.2563,0.18902999,0.059,7353625088,6208000000,0.05169,0.15047,5.337,20.821,3.8785908,1.038028,6.01,1.249,1.147,37.407,1179580032,-0.231,1.39
MDT,100.58,Healthcare,Medical Devices,135235846144,29.002308,1.63,157658562560,9596999680,0.30181,0.14793,0.026,5072875008,7161999872,0.045879997,0.09233,4.958,16.428,2.6017227,0.810389,6.16,2.913,2.071,49.125,1344560000,1.694,2.08
CVS,102.13,Healthcare,Healthcare Plans,134817726464,17.826845,2.27,203894095872,17824000000,0.06276,0.02668,0.1,14704874496,17827000320,0.03551,0.10556,0.718,11.439,1.8156121,0.808311,8.27,0.94,0.589,105.414,1320060032,0.29,2.85
AMD,113.83,Technology,Semiconductors,137462251520,35.111042,1.55,132861157376,4055000064,0.24674,0.19240999,0.488,3122749952,3520999936,0.21327,0.47428,8.085,32.765,19.33254,1.950273,3.34,2.024,1.49,9.764,1207609984,-0.454,
UL,52.3,Consumer Defensive,Household & Personal Products,134388514816,22.465635,,165144657920,10288000000,0.20252001,0.10665,0.003,6967124992,8574000128,0.081,0.31462,3.251,16.052,8.009188,0.1627,2.44,0.732,0.49,141.539,2566269952,-0.048,3.15
PYPL,103.65,Financial Services,Credit Services,121781501952,24.921858,2.02,220982149120,5190000128,0.21124001,0.20086001,0.132,3478000128,5923999744,0.038110003,0.24299999,8.994,42.578,5.50861,1.164675,5.27,1.298,0.337,43.902,1174930048,0.07,
SONY,104.23,Technology,Consumer Electronics,130462613504,15.942184,1.81,1988916281344,1474399961088,0.15427,0.09883001,0.126,2745637011456,1066208985088,0.024,0.15621,0.208,1.349,0.018274331,0.641947,6.74,0.615,0.436,37.307,1239750016,-0.536,0.52
C,64.14,Financial Services,Banks—Diversified,127271075840,6.0750146,0.32,-295083409408,,0,0.29273,0.047,,,0.00968,0.10931,-3.935,,0.6959258,1.691695,7.85,,,,1984269952,-0.17,2.54
SNY,52.5,Healthcare,Drug Manufacturers—General,131960332288,18.83746,1.28,136581103616,11271999488,0.29281,0.16038,0.096,,,,,3.548,12.117,2.0797434,0.458218,4.28,,,34.166,2510579968,0.188,3.82
HON,182.13,Industrials,Conglomerates,125382483968,23.440155,2.27,154284408832,8730000384,0.25206,0.15802,0.087,4935000064,6157000192,0.073860005,0.30444,4.455,17.673,7.027434,1.172467,8.98,1.288,0.967,122.846,688422976,0.682,1.94
AMGN,220.77,Healthcare,Drug Manufacturers—General,124352233472,22.757448,2.28,156366471168,12275999744,0.47642,0.21767999,0.044,7394749952,8606000128,0.08696,0.585,6.068,12.738,15.180499,0.639128,17.95,1.643,1.192,457.332,563265984,-0.035,2.73
RIO,77.63,Basic Materials,Other Industrial Metals & Mining,125710139392,6.736961,,111016108032,31981000704,0.54826,0.32171002,0.709,15279250432,23907999744,0.18372,0.39316002,1.903,3.471,2.3711782,0.624792,4.21,2.134,1.765,23.222,1619350016,2.714,5.93
CHTR,596.83,Communication Services,Entertainment,107006255104,27.199106,0.77,205917814784,20028999680,0.39200002,0.08396,0.092,6336875008,16161999872,0.04602,0.17694001,4.03,10.281,6.2834134,0.944247,31.27,0.286,0.254,417.43,179291008,0.667,
BA,209.03,Industrials,Aerospace & Defense,122846724096,,-5.13,167099318272,1639000064,0.02631,-0.06746,-0.033,-622875008,-3416000000,-0.00217,,2.683,101.952,,1.46892,4.76,1.325,0.337,,587699008,,
HDB,66.95,Financial Services,Banks—Regional,123688108032,161.5199,0.96,954770391040,,0,0.40874,0.045,,-1302329819136,0.01925,0.16014,1.14,,0.32978183,0.89646,3.24,,,,1847469952,-0.091,
COP,89.63,Energy,Oil & Gas E&P,118217482240,24.309736,-7.27,109260341248,14764000256,0.40136,0.12722999,1.616,7791124992,12800000000,0.05782,0.12497,2.97,7.4,2.6797621,1.620779,7.8,1.931,1.664,44.583,1318950016,,2.59
GS,346.04,Financial Services,Capital Markets,115431325696,5.7074056,0.39,-226093252608,,0,0.38197,0.279,,-7961999872,0.017239999,0.21962999,-3.889,,1.257157,1.496198,40.24,1.721,1.63,533.961,333577984,0.662,1.62
DE,369.1,Industrials,Farm & Heavy Construction Machinery,113463926784,19.436546,1.34,161453981696,9040000000,0.20566,0.13566,0.16,1230499968,7726000128,0.06355,0.3802,3.673,17.86,6.1693525,0.978617,25.12,2.192,1.94,264.864,307407008,0.724,1.6
AMAT,133.35,Technology,Semiconductor Equipment & Materials,118483214336,20.835938,1.17,136894029824,7650999808,0.33174,0.25530002,0.306,3319124992,5441999872,0.18829,0.51593,5.936,17.892,9.71231,1.37974,8.85,2.539,1.673,46.975,888513024,0.533,1.2
BLK,756.02,Financial Services,Asset Management,114852290560,20.103174,1.8,142154465280,7712000000,0.41139,0.30972,0.156,5881375232,5006000128,0.02727,0.16974,7.583,18.433,3.1210063,1.202077,42.25,1.427,0.625,21.949,151916992,0.228,2.33
DEO,199.69,Consumer Defensive,Beverages—Wineries & Distilleries,116148895744,32.650425,,137361088512,4062000128,0.31901,0.20889999,0.287,2071124992,3654000128,0.07185,0.33181,10.788,33.816,16.90569,0.402379,5.65,1.602,0.725,180.097,581646016,,2.31
NOW,556.01,Technology,Software—Application,110645993472,509.6334,3.88,119377043456,679244032,0.122770004,0.03986,0.312,2109631104,2032599040,0.01745,0.071040004,21.577,175.75,31.308632,1.018701,7.22,1.131,1.004,63.016,199000000,4.167,
JD,71.86,Consumer Cyclical,Internet Retail,118776676352,27.950212,70.05,-3994407424,9614210048,0.010679999,0.02881,0.255,19941136384,41042538496,0.00477,0.11849,-0.004,-0.415,0.51839566,0.690203,2.09,1.415,1.017,15.095,1553270016,,
GSK,43.04,Healthcare,Drug Manufacturers—General,108284338176,18.72933,3.51,137011478528,10229999616,0.30697,0.12942,0.05,8766000128,8040000000,0.06466,0.23622999,4.111,13.393,6.9870133,0.382909,3.23,0.814,0.526,117.735,2515899904,-0.065,5.23
CAT,191.95,Industrials,Farm & Heavy Construction Machinery,103833821184,20.533804,0.65,138267869184,9230000128,0.18108,0.12731,0.228,5983750144,7198000128,0.05336,0.40715998,2.713,14.98,6.2307267,0.897563,10.9,1.456,0.892,228.802,540942016,1.764,2.5
BP,31.77,Energy,Oil & Gas Integrated,104371445760,16.342592,-2.7,163081322496,18094000128,0.08687,0.03167,0.369,18753499136,19765000192,-0.0138,0.08627,0.783,9.013,1.4326298,0.750937,4.14,1.158,0.726,80.481,3285220096,,6.8
ANTM,446.24,Healthcare,Healthcare Plans,108309143552,20.075579,1.31,101050580992,8753000448,0.06538,0.041220002,0.15,7365374976,10504999936,0.05371,0.15835,0.755,11.545,3.0323868,1.045194,28.65,1.476,1.327,66.276,242715008,6.046,1.2
BUD,63.05,Consumer Defensive,Beverages—Brewers,110479360000,25.464458,1.25,219566653440,17176999936,0.32487,0.09405,0.114,,,,,4.153,12.783,1.8196774,1.404537,3.27,,,113.923,1737129984,-0.76,2.97
PLD,142.55,Real Estate,REIT—Industrial,105391063040,53.914524,-11.62,140316753920,3383100928,0.68964,0.40218,0.102,4072106752,2883645952,0.01978,0.05886,28.603,41.476,3.2485585,0.806753,2.31,0.848,0.403,47.759,739326976,1.415,2.52
LMT,386.46,Industrials,Aerospace & Defense,106580246528,17.801834,3.22,108778930176,8776999936,0.13229,0.091309994,-0.028,3227624960,6760000000,0.09235,0.8289,1.64,12.394,10.994594,0.92,26.28,1.421,1.177,121.213,275785984,-0.635,2.57
AMT,228.44,Real Estate,REIT—Specialty,104034779136,41.48175,2.96,171920228352,5717300224,0.63285,0.27445,0.219,5150612480,5273299968,0.04348,0.34478,19.03,30.07,19.22572,0.344935,5.46,0.773,0.668,434.983,455414016,0.519,1.79
EL,302.99,Consumer Defensive,Household & Personal Products,109060341760,36.734962,3.39,138718035968,3955000064,0.23202999,0.17829001,0.233,2091874944,3192000000,0.10375,0.53243,8.138,35.074,17.969872,1.004675,8.53,1.783,1.179,114.934,231704992,0.324,0.97
SBUX,93.34,Consumer Cyclical,Restaurants,,,,129183154176,6450699776,0.21246,0.14468999,0.193,4055624960,6024300032,0.104770005,,4.255,20.026,,0.886623,,0.813,0.584,,,0.303,1.81
SHOP,656.88,Technology,Software—Application,82188173312,24.333395,4.88,100844175360,516404992,0.12267,0.81001997,0.464,522548128,489336000,0.027590001,0.38865003,23.956,195.281,7.2546554,1.546991,8.76,13.968,12.954,9.676,113633000,4.858,
GE,92.69,Industrials,Specialty Industrial Machinery,101786599424,,6.96,155708882944,7228000256,0.09193,-0.00052,-0.005,7676375040,4557000192,0.00451,0.048779998,1.98,21.542,2.7164292,1.042597,3.97,1.796,0.855,169.123,1098140032,,2.28
BTI,46.5,Consumer Defensive,Tobacco,106703085568,12.785262,,144088432640,11937999872,0.4648,0.26479998,0,6609999872,9717000192,0.049990002,0.107,5.61,12.07,1.6907861,0.595072,3.97,0.846,0.484,58.839,2294690048,0.201,6
BKNG,2616.41,Consumer Cyclical,Travel Services,107429265408,282.85513,0.27,100587618304,2028999936,0.22017999,0.04145,0.771,2417874944,1964000000,0.04375,0.07305,10.916,49.575,19.37579,1.220779,100.38,2.483,2.374,208.007,41059800,-0.046,
